p-value_TI-CT-PPHE vs TI-CT-CH-TPP,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH-TPP,Protein,Gene,p-value_TI-CT-PPHE vs TI-CT-CH,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH,p-value_TI-CT-PPHE vs TI-CT,Log (Fold Change)_TI-CT-PPHE vs TI-CT,p-value_TI-CT-PPHE vs TI-PPHE,Log (Fold Change)_TI-CT-PPHE vs TI-PPHE,p-value_TI-CT-PPHE vs TI-P4000,Log (Fold Change)_TI-CT-PPHE vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-CT-CH,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT-CH,p-value_TI-CT-CH-TPP vs TI-CT,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT,p-value_TI-CT-CH-TPP vs TI-P4000,Log (Fold Change)_TI-CT-CH-TPP vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-PPHE,Log (Fold Change)_TI-CT-CH-TPP vs TI-PPHE,p-value_TI-CT-CH vs TI-CT,Log (Fold Change)_TI-CT-CH vs TI-CT,p-value_TI-CT-CH vs TI-PPHE,Log (Fold Change)_TI-CT-CH vs TI-PPHE,p-value_TI-CT-CH vs TI-P4000,Log (Fold Change)_TI-CT-CH vs TI-P4000,p-value_TI-CT vs TI-PPHE,Log (Fold Change)_TI-CT vs TI-PPHE,p-value_TI-PPHE vs TI-P4000,Log (Fold Change)_TI-PPHE vs TI-P4000,p-value_TI-CT vs TI-P4000,Log (Fold Change)_TI-CT vs TI-P4000
0.01495,0.410451621636592,P12799,FIBG,0.20554,0.0380434826509471,0.25893,0.0522765829786185,0.39992,0.0182046316983112,0.72485,0.0189345661130485,0.02624,-0.372408138985645,0.04056,-0.358175038657973,0.03542,-0.391517055523543,0.01879,-0.392246989938281,0.76607,0.0142331003276714,0.48232,-0.0198388509526359,0.74449,-0.0191089165378986,0.44818,-0.0340719512803074,0.9893,0.000729934414737367,0.62841,-0.03334201686557
0.01692,0.340139596438316,P68301,MT2,0.29596,0.0508245303020476,0.60149,-0.0381689254229651,0.71718,0.0127292432013167,0.85374,0.00897283406767066,0.03399,-0.289315066136268,0.02934,-0.378308521861281,0.0227,-0.331166762370645,0.01487,-0.327410353236999,0.27811,-0.0889934557250126,0.32211,-0.0380952871007308,0.42988,-0.0418516962343768,0.47128,0.0508981686242818,0.9275,-0.00375640913364602,0.54152,0.0471417594906358
0.01804,0.0521085018796498,P00735,THRB,0.41966,0.0244126223786871,0.34914,0.0169914069045694,0.4366,0.0115789534765715,0.8247,0.00483309137299391,0.3723,-0.0276958795009627,0.07721,-0.0351170949750804,0.07812,-0.0472754105066559,0.02487,-0.0405295484030783,0.80566,-0.00742121547411769,0.65496,-0.0128336689021156,0.56027,-0.0195795310056932,0.73117,-0.00541245342799788,0.74736,-0.00674586210357756,0.60213,-0.0121583155315755
0.01864,0.0644764545935645,P17690,APOH,0.43777,0.0212794466750266,0.55624,0.0135213304250029,0.26812,0.0135900603361733,0.32464,0.0156563852920724,0.19298,-0.0431970079185378,0.09961,-0.0509551241685616,0.04339,-0.0488200693014921,0.0199,-0.0508863942573911,0.8067,-0.00775811625002377,0.75549,-0.00768938633885328,0.83248,-0.00562306138295421,0.99729,6.87299111704909e-05,0.8489,0.00206632495589913,0.92454,0.00213505486706953
0.01918,-0.100910110991527,Q2UVX4,CO3,0.45051,-0.0200971721275804,0.77542,0.00661193491146839,0.02185,-0.0513523075369744,0.47151,0.0264266456688017,0.05524,0.0808129388639462,0.02104,0.107522045902995,0.02636,0.127336756660328,0.1084,0.0495578034545523,0.38394,0.0267091070390487,0.21537,-0.031255135409394,0.27713,0.046523817796382,0.03629,-0.0579642424484428,0.06162,0.077778953205776,0.61216,0.0198147107573332
0.02246,-0.275899905027644,P13605,FMOD,0.30861,-0.238788108005788,0.00019,-0.538835525047856,0.0008,1.301029996,0.31874,0.336339242515217,0.82557,0.0371117970218558,0.00418,-0.262935620020212,0.04913,0.612239147542861,0.00101,1.301029996,0.0538,-0.300047417042067,0.04891,1.301029996,0.17479,0.575127350521006,2.2024e-05,1.301029996,0.3739,-1.301029996,0.00349,0.875174767563073
0.02322,0.135509199779213,Q29RQ1,CO7,0.47523,0.0303988392340353,0.42568,0.0611622074035439,0.12105,-0.0242690151186271,0.9652,0.00179993927652843,0.1341,-0.105110360545178,0.44471,-0.074346992375669,0.07356,-0.133709260502685,0.0097,-0.15977821489784,0.72161,0.0307633681695086,0.20052,-0.0546678543526623,0.61713,-0.0285988999575069,0.26518,-0.085431222522171,0.50896,0.0260689543951555,0.49201,-0.0593622681270155
0.02578,0.695957686424164,Q29423,CD44,0.00089,1.301029996,0.00089,1.301029996,0.16615,0.113306107157205,0.99121,-0.000655124329358798,0.3739,1.301029996,0.3739,1.301029996,0.01922,-0.696612810753522,0.0574,-0.582651579266958,1.0,,0.00054,-1.301029996,9.0294e-05,-1.301029996,0.00054,-1.301029996,0.07908,-0.113961231486564,9.0294e-05,-1.301029996
0.02723,-0.0834261238301097,Q3SZV7,HEMO,0.39761,0.0281880277906733,0.46143,0.0338480950549724,0.79808,0.0119391809250927,0.49133,-0.0137923087691332,0.03036,0.111614151620783,0.05267,0.117274218885082,0.05369,0.0696338150609765,0.09864,0.0953653047552023,0.91573,0.00566006726429901,0.76926,-0.0162488468655806,0.24711,-0.0419803365598064,0.73237,-0.0219089141298796,0.59089,-0.0257314896942258,0.32172,-0.0476404038241055
0.03377,-0.522719232627405,A2I7M9,SPA32,0.00704,-0.201859343735203,0.85874,0.0337527140866635,0.01096,-0.131031859475606,0.70769,-0.0594768165984443,0.07773,0.320859888892202,0.04385,0.556471946714069,0.05506,0.463242416028961,0.05397,0.391687373151799,0.17017,0.235612057821866,0.07553,0.0708274842595966,0.29514,0.142382527136759,0.33477,-0.16478457356227,0.59844,0.0715550428771619,0.69616,-0.0932295306851077
0.03559,0.145171574192081,P02676,FIBB,0.69412,0.0140566595971492,0.4047,-0.0284456359565053,0.52221,-0.0193000489030129,0.50173,0.056632963058709,0.04121,-0.131114914594932,0.01312,-0.173617210148586,0.39586,-0.0885386111333718,0.01223,-0.164471623095094,0.1998,-0.0425022955536544,0.23916,-0.0333567085001621,0.60757,0.0425763034615599,0.69301,0.00914558705349234,0.3481,0.075933011961722,0.30423,0.0850785990152144
0.03749,0.313230030310288,A2I7N1,SPA35,0.25439,-0.0914486686887274,0.0053,0.170600915525584,0.97012,-0.000950994776629636,0.38614,-0.569202067484136,0.03379,-0.404678698999016,0.32216,-0.142629114784704,0.31259,-0.882432097794424,0.03598,-0.314181025086918,0.03366,0.262049584214312,0.25474,0.0904976739120978,0.42556,-0.477753398795409,0.00384,-0.171551910302214,0.38647,-0.568251072707507,0.33758,-0.73980298300972
0.04045,0.284641600406678,Q3T021,SPAT9,0.15441,0.306730653883544,0.7443,-0.029761461566597,0.77238,0.021985659616625,0.05436,0.61159494260436,0.92811,0.0220890534768662,0.0327,-0.314403061973275,0.34841,0.326953342197682,0.02151,-0.262655940790053,0.12211,-0.336492115450141,0.16231,-0.284744994266919,0.51951,0.304864288720815,0.51983,0.051747121183222,0.05203,0.589609282987735,0.04495,0.641356404170957
0.04083,0.11622394849463,Q32KY0,APOD,0.2297,0.075097052403346,0.31683,0.0563653558562317,0.96341,0.00400204397786937,0.07894,0.189765826161982,0.5195,-0.0411268960912837,0.32921,-0.0598585926383979,0.46498,0.0735418776673524,0.29039,-0.11222190451676,0.78865,-0.0187316965471142,0.49954,-0.0710950084254766,0.30955,0.114668773758636,0.60137,-0.0523633118783623,0.20122,0.185763782184113,0.22999,0.13340047030575
0.04276,-0.102812172661058,Q58D62,FETUB,0.65576,0.00656009388924868,0.01905,0.0103825694172698,0.09765,-0.0252435904151594,0.08536,-0.0069440726919203,0.04236,0.109372266550306,0.03299,0.113194742078327,0.05094,0.0958680999691373,0.09428,0.0775685822458981,0.79199,0.00382247552802118,0.14114,-0.0318036843044081,0.3697,-0.013504166581169,0.03719,-0.0356261598324292,0.18544,0.0182995177232392,0.00054,-0.0173266421091901
0.05079,-0.209390803567797,Q29S21,K2C7,0.19593,-0.329895635963254,0.72122,-0.0308242351913461,0.24927,-0.180705152798735,0.89119,-0.0210844124878574,0.53544,-0.120504832395457,0.13228,0.178566568376451,0.23147,0.18830639107994,0.82558,0.0286856507690621,0.23208,0.299071400771908,0.49344,0.149190483164519,0.24896,0.308811223475397,0.35611,-0.149880917607389,0.41209,0.159620740310878,0.95392,0.00973982270348871
0.05158,0.157854412538063,P42916,CL43,0.17511,-0.028685476037573,0.69556,0.00758626654390986,0.14719,-0.0938816780413187,0.37939,-0.0537031495186059,0.03098,-0.186539888575636,0.06555,-0.150268145994153,0.06282,-0.211557562056669,0.03344,-0.251736090579381,0.15843,0.0362717425814828,0.27591,-0.0651962020037457,0.66585,-0.0250176734810329,0.13238,-0.101467944585229,0.58859,0.0401785285227128,0.33498,-0.0612894160625157
0.05349,-0.12718472052437,Q7SIH1,A2MG,0.39235,-0.0199031582730062,0.6919,-0.0146948228546593,0.03577,-0.061826762732582,0.20943,-0.0343029839984987,0.07063,0.107281562251364,0.08773,0.112489897669711,0.10279,0.0928817365258716,0.19348,0.0653579577917882,0.87017,0.00520833541834683,0.02967,-0.0419236044595758,0.43239,-0.0143998257254925,0.17386,-0.0471319398779227,0.15692,0.0275237787340833,0.56326,-0.0196081611438394
0.05502,0.14061916872337,P04815,BPT2,0.66118,0.0104828502732566,0.92499,-0.00335804543255478,0.35884,0.0271685725718988,0.47006,0.0179284746818945,0.05334,-0.130136318450113,0.06118,-0.143977214155924,0.06456,-0.122690694041475,0.09171,-0.113450596151471,0.64545,-0.0138408957058113,0.39305,0.0166857222986424,0.54362,0.00744562440863793,0.38515,0.0305266180044537,0.63032,-0.0092400978900044,0.49231,0.0212865201144492
0.05637,-0.16326087386715,Q2KIU3,HP252,0.00933,0.418441105887184,0.24018,0.388353506003477,0.72628,0.0780332085124254,0.89723,-0.0181080648499414,0.00075,0.581701979754334,0.06902,0.551614379870626,0.24396,0.145152809017208,0.22527,0.241294082379575,0.94995,-0.0300875998837074,0.33971,-0.340407897374759,0.07936,-0.436549170737125,0.50628,-0.310320297491051,0.70236,-0.0961412733623668,0.2708,-0.406461570853418
0.05716,0.0418646777454835,Q3SX14,GELS,0.04636,-0.0415117983063772,0.59,0.0136033729785106,0.46703,-0.016403900538806,0.21531,-0.0253178338651444,0.00588,-0.0833764760518607,0.31513,-0.0282613047669729,0.02147,-0.0671825116106279,0.05469,-0.0582685782842896,0.07041,0.0551151712848878,0.27419,0.0251078977675711,0.39026,0.0161939644412328,0.3305,-0.0300072735173166,0.7054,-0.00891393332633838,0.18842,-0.038921206843655
0.05842,-0.120974666327559,P01030,CO4,0.09931,-0.0597015994447956,0.12336,-0.0657423155983482,0.03711,-0.0882567280604969,0.40568,-0.0387643315901294,0.18631,0.0612730668827632,0.25606,0.0552323507292106,0.15792,0.0822103347374294,0.43989,0.0327179382670618,0.81173,-0.00604071615355264,0.18046,-0.0285551286157014,0.55528,0.0209372678546662,0.41347,-0.0225144124621487,0.2064,0.0494923964703676,0.50876,0.0269779840082188
0.06005,0.117865507860349,Q28107,FA5,0.71761,-0.0146587926032141,0.88349,0.00761052817902367,0.28629,-0.0418383587533878,0.18656,-0.0423447440469214,0.05197,-0.132524300463563,0.1405,-0.110254979681325,0.0124,-0.160210251907271,0.02257,-0.159703866613737,0.68349,0.0222693207822377,0.50341,-0.0271795661501738,0.41604,-0.0276859514437073,0.35457,-0.0494488869324115,0.98578,-0.000506385293533574,0.30131,-0.049955272225945
0.06121,0.134986938932626,P08169,MPRI,0.39319,0.0597526040660316,0.20684,0.081893125160933,0.00785,0.202383503897268,0.02083,0.173162451066865,0.38158,-0.0752343348665945,0.47831,-0.0530938137716932,0.5658,0.0381755121342389,0.29169,0.0673965649646415,0.78596,0.0221405210949013,0.11636,0.142630899831236,0.20041,0.113409847000833,0.11358,0.120490378736335,0.55973,-0.0292210528304026,0.22626,0.0912693259059321
0.06389,0.270699148028551,P06394,K1C10,0.30665,-0.372436764055961,0.09518,0.156429588793909,0.32968,0.125497427141593,0.88287,0.0231419088767655,0.19401,-0.643135912084512,0.46518,-0.114269559234642,0.31696,-0.247557239151785,0.47183,-0.145201720886958,0.22643,0.52886635284987,0.24318,0.497934191197554,0.30548,0.395578672932726,0.84109,-0.0309321616523156,0.63203,-0.102355518264828,0.50273,-0.133287679917143
0.06646,-1.87623484436514,Q8HYY4,UACA,0.18927,-0.550859658417547,0.16144,-1.98293257888346,0.12957,-1.35315749492355,0.0489,-0.431644940282694,0.07319,1.3253751859476,0.75583,-0.106697734518317,0.07072,1.44458990408245,0.17223,0.52307734944159,0.17054,-1.43207292046591,0.17186,-0.802297836506008,0.64573,0.119214718134853,0.26345,0.629775083959906,0.15471,0.921512554640861,0.16736,1.55128763860077
0.06668,0.116398735325753,P06868,PLMN,0.87496,-0.00465295997878428,0.6187,0.0194424604145985,0.57022,-0.013521980467287,0.62854,0.0153327236770611,0.05533,-0.121051695304537,0.14092,-0.0969562749111541,0.09813,-0.101066011648691,0.03273,-0.12992071579304,0.52652,0.0240954203933828,0.68057,-0.00886902048850269,0.51155,0.0199856836558454,0.33288,-0.0329644408818855,0.25432,0.0288547041443481,0.91546,-0.00410973673753733
0.06691,0.146519787793076,Q03247,APOE,0.66284,-0.0130271074535223,0.58594,0.0225156891569268,0.37541,-0.0134594983727757,0.21494,-0.0345691653279486,0.0682,-0.159546895246599,0.16578,-0.12400409863615,0.04049,-0.181088953121025,0.05007,-0.159979286165852,0.47301,0.0355427966104491,0.98808,-0.000432390919253345,0.54651,-0.0215420578744263,0.39065,-0.0359751875297024,0.41134,-0.021109666955173,0.24175,-0.0570848544848754
0.07008,0.10843151560566,Q28085,CFAH,0.63725,0.0134423106514742,0.75254,0.0133914330261369,0.09669,-0.0407059435664472,0.67766,0.0104819788251161,0.09683,-0.0949892049541854,0.16053,-0.0950400825795227,0.07848,-0.0979495367805434,0.01567,-0.149137459172107,0.99903,-5.08776253373585e-05,0.03662,-0.0541482542179214,0.9011,-0.00296033182635805,0.17882,-0.0540973765925841,0.01805,0.0511879223915634,0.94171,-0.00290945420102071
0.07024,-0.164946794216571,Q95121,PEDF,0.15274,-0.0436563473248014,0.60192,-0.0245439206954511,0.01418,-0.0909075291067559,0.11906,-0.0554969085306484,0.12156,0.12129044689177,0.11361,0.14040287352112,0.15296,0.109449885685923,0.27305,0.0740392651098154,0.62536,0.0191124266293503,0.0085,-0.0472511817819544,0.55902,-0.011840561205847,0.11671,-0.0663636084113048,0.0878,0.0354106205761075,0.46253,-0.0309529878351973
