Protein,Gene,p-value_PPHE vs CT,Fold Change_PPHE vs CT,p-value_PPHE vs TP,Fold Change_PPHE vs TP
P62266,RS23,0.9896,0.996264562002353,0.10151,0.277590183569323
P46776,RL27A,0.97645,0.995576450464841,0.49142,1.17926265649612
P06748,NPM,0.98477,0.994557227784191,0.39518,0.624858922490406
P17931,LEG3,0.97873,0.981436173292409,0.86917,0.887563897996744
P04406,G3P,0.92874,0.972913029687481,0.6053,0.769202396481814
P16401,H15,0.69918,0.923761367408782,0.00408,50.0
P15144,AMPN,0.7913,0.916518866006491,0.4034,0.534175732521802
P02533,K1C14,0.67926,0.892627254856805,0.99409,1.00111197498207
P22392,NDKB,0.88861,0.870735580623647,0.15791,1.86427999414063
P00558,PGK1,0.71134,0.852498149654767,0.70684,0.835992411590709
Q15365,PCBP1,0.66416,0.84974116672901,0.24085,0.301772650195266
P49368,TCPG,0.56408,0.845960913149685,0.14769,0.471112941452746
P13639,EF2,0.47232,0.838881293831502,0.01652,0.5287344225048
P62826,RAN,0.571,0.80557637319622,0.11971,0.55895363468055
Q96QV6,H2A1A,0.67732,0.802417013629426,0.37324,0.632390117218019
P04083,ANXA1,0.36726,0.779375109650999,0.77372,1.05007619628164
Q9NZM1,MYOF,0.76006,0.765111100702789,0.29393,0.349324608083659
P60174,TPIS,0.08799,0.759192173807294,0.73288,1.10953136586926
O14950,ML12B,0.81988,0.755310898615115,0.98082,0.97414608748621
O60814,H2B1K,0.5311,0.753805752464394,0.17205,0.131239337846298
O00299,CLIC1,0.478,0.702085910097806,0.99136,0.992802819310954
P25787,PSA2,0.38508,0.684550628349217,0.05878,0.171734320204764
P63104,1433Z,0.0743,0.683983129605361,0.3291,0.405031995788904
P09651,ROA1,0.74885,0.655304671929117,0.68304,0.559000805829021
P07910,HNRPC,0.52674,0.638294775036963,0.01651,0.37465201462769
P56537,IF6,0.1909,0.611749130264907,0.85877,0.899456629863493
P16402,H13,0.18194,0.599114313732919,0.46705,1.12642046156444
O43707,ACTN4,0.00282,0.590064302478188,0.04961,0.331952435936121
P40926,MDHM,0.09612,0.586290489287607,0.02407,0.583727461530072
P62899,RL31,0.00511,0.57857790240577,0.10207,0.308158950658434
P30041,PRDX6,0.23571,0.563587774004271,0.19774,0.314568527647178
P14625,ENPL,0.05295,0.558523982185504,0.29421,0.792386645326109
Q9Y6N5,SQOR,0.69088,0.556326632658555,0.05,50.0
P04075,ALDOA,0.22417,0.547434563513912,0.96556,1.01378715706985
P69905,HBA,0.57926,0.537199061654719,0.85462,1.17035295675883
P50395,GDIB,0.38271,0.532974376282623,0.113,0.247002886957729
P50990,TCPQ,0.43683,0.523471773144699,0.51497,0.64458761502725
P07195,LDHB,0.01697,0.518618782708528,0.02029,0.546484286021978
P62277,RS13,0.19873,0.514892329899492,0.12312,0.503027021371253
P29966,MARCS,0.63646,0.489184128463253,2.2605e-05,50.0
P62906,RL10A,0.11412,0.488088291561554,0.28868,0.134853316738578
P13647,K2C5,0.29059,0.482368701241899,0.22332,0.57799308550763
P08238,HS90B,0.43141,0.471551319133749,0.01122,0.403347417341581
P09211,GSTP1,0.45389,0.468102202766673,0.07548,0.129323897540622
P52597,HNRPF,0.18792,0.458689426832569,0.00628,0.412035807711588
O60701,UGDH,0.1196,0.450288430135664,0.31051,0.0680577364011822
O14558,HSPB6,0.15104,0.432976036585123,0.00619,0.163648115646086
P06576,ATPB,0.34085,0.430334029511201,0.02231,0.431065307806653
P05386,RLA1,0.20512,0.403382829844826,0.01469,0.0855295013646155
P16152,CBR1,0.35752,0.378455693001369,0.01156,0.188243436441046
P68104,EF1A1,0.03017,0.377145935840651,0.12015,0.499974835994648
P23396,RS3,0.05236,0.374688891666294,0.1583,0.137932610398011
P10599-2,THIO,0.02049,0.371903889721137,0.37394,0.359147704467688
Q05682,CALD1,0.11203,0.361463091813374,0.37726,0.446585534129246
